Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
BN_F_A_40,0,0,0,0,0.007516583,0,0.013068006,0.000170937,0,0.020618411,0.001615296,0,0,0,0,0.003336266,0,0,0.004405413,0,0,0.95,0,0.747671192,0.833746335
DBNF___174,0.005650269,0,0,0,0.013050162,0,0.007004962,0,0,0,0.017631319,0,0,0.00395244,0,0,0,0,0.01513751,0,0,0.94,0,0.669843032,0.932701332
D_M__114,0,0,0,0,0,0.038715989,0.004605302,0.010326123,0,0,0,0,0,0,0,0,0,0,0.013758294,0,0,0.93,0,0.738763247,0.832892613
DBN_F_Y_153,0,0.008949673,0,0,0.021717158,0,0.003695911,0.013086269,0,0.001641885,0.012790804,0,0,0,0,0,0,0,0.009058234,0,0,0.93,0,0.873904106,0.602779296
D___128,0,0,0,0,0.007850559,0.010897156,0,0.011676108,0,0.001954528,0,0.005855645,0,0,0,0,0,0,0.033557768,0,0,0.93,0,0.606567138,1.004220228
DF___178,0.002222881,0,0,0,0.020888499,0.000809799,0,0.016924371,0,0.004823229,0.015196554,0,0,0,0,0,0,0,0.011500638,0,0,0.93,0,0.632907346,0.971640221
D___74,0,0.005641645,0,0,0.020567442,0.0078478,0,0.009927599,0,0.006320954,0.003071695,0,0,0,0,0,0,0,0.019446735,0,0,0.93,0,0.795220227,0.742829713
DBP_M__173,0,0,0,0,0.023686848,8.27046817030228e-05,0.013293576,0.001751148,0,0,0.024941708,0,0,0,0,0,0,0,0.010853872,0,0,0.93,0,0.547789625,1.070238948
DBP_M__172,0.012006929,0,0,0,0.014536126,0.002116832,0.0017644,0.002010311,0,0.00234518,0.029868949,0,0,0,0,0.005895732,0,0,0.004283922,0,0,0.93,0,0.761276905,0.795498899
D___103,0,0.015226836,0,0,0.020478129,0,0.001575932,0,0,0,0.009889008,0,0,0,0,0.00644918,0,0,0.021296519,0,0,0.93,0,0.633811291,0.969050487
D___91,0.01119214,0,0,0,0.028367205,0.000106112,0.018195643,0,0,0.001199935,0.010228094,0,0,0,0,0,0,0.000747789,0.006528334,0,0,0.92,0,0.651723165,0.944526209
D_M__75,0.000236061,0,0,0,0.010078325,0.00409302,0.015374324,0.009287287,0,0,0.035281071,0,0,0,0,0,0,0,0.002315272,0,0,0.92,0,0.633109413,0.967972152
D___102,0.000956525,0,0,0,0,0.045994856,0.010511811,0,0,0,0.010539451,0,0,0,0,0,0,0,0.010263343,0,0,0.92,0,0.691973725,0.890404716
DF_M_Y_179,0,0.003997035,0,0,0.017721446,0,0.006459969,0,0,0,0.024022763,0,0,0.008593589,0,0,0,0,0.018133627,0,0,0.92,0,0.687180389,0.897890408
DF___177,0.020826903,0,0,0,0.020198268,0.010936458,0,0.002452544,0,0.000142918,0.024399688,0,0,0,0,0,0,0,0,0,0,0.92,0,0.56234785,1.050864962
D_M_O_107,0,0.01569087,0,0,0.020046663,0,0.006943199,0,0,0,0.023160943,0,0,0,0,0,0,0,0.01332569,0,0,0.92,0,0.645765791,0.950376308
D_F_Y_106,0,0,0,0,0.023191129,0.003694522,0.006025488,0,0,0,0.024963074,0,0,0,0,0.007854132,0,0,0.013706778,0,0,0.92,0,0.649736712,0.945751946
DBN___145,0,0,0.005549374,0,0,0.021435195,0.021462122,0.0056242,0,0,0.012259567,0,0,0,0,0,0,0,0.0136144,0,0,0.92,0,0.788688488,0.747187371
D___136,0.002423217,0,0,0,0,0.033400349,0.013924965,0.005025347,0,0.001839375,0,0,0,0,0,0,0,0.00500436,0.020236499,0,0,0.92,0,0.835378168,0.667363855
D___130,0,0.008310235,0,0,0.028635909,0,0.005712756,0,0,0,0.036320752,0,0,0.003052705,0,0,0,0,0,0,0,0.92,0,0.60495785,0.999042959
D_M_A_116,0,0.007517083,0,0,0.022634585,0.001458176,0.003682722,0,0,0,0.023454936,0,0,0,0,0.008538775,0,0,0.01520407,0,0,0.92,0,0.759263833,0.792731739
D_M_O_117,0,0,0,0,0.018093841,0,0.00971456,0,0,0,0.033616223,0,0,0,0,0,0,0,0.013597235,0,0.008241267,0.92,0,0.738932857,0.822919624
D___135,0.003525827,0,0,0,0,0.03281444,0.016672508,0.004513379,0,0.001728595,0,0,0,0,0,0,0,0.004148297,0.019940937,0,0,0.92,0,0.837673291,0.662109822
BN___51,0.027822812,0,0,0,0.002382694,0.016442567,0,0.002418417,0,0,0.022778331,0,0,0,0,0.010793747,0,0,0.000711691,0,0,0.92,0,0.607480525,0.995413444
DF_F_Y_180,0.022544248,0,0,0,0.011450702,0.003248656,0.00126074,0.009460528,0,0,0.035432387,0,0,0,0,0,0,0,0,0,0,0.92,0,0.545902263,1.066020088
D___90,0,0,0,0,0.0555329,0,0.00359436,0,0,0.013259107,0,0,0,0,0,0.002124891,0,0,0.009086749,0,0,0.92,0,0.53632755,1.076899131
D_F__111,0,0.012210564,0,0,0.018919541,0,0,0,0,0,0.032986879,0,0,0,0,0.00099528,0,0,0.019236409,0,0,0.92,0,0.757958577,0.793193957
D_M__109,0,0,0,0,0.035857015,0.00856295,0,0,0,0,0.040429819,0,0,0,0,0,0,0,0,0,0,0.92,0,0.569081695,1.03883348
D_M__79,0,0.011536707,0,0,0.028993252,0,0.005120274,0,0,0.005793378,0.006177269,0,0,0,0,0.011004806,0,0,0.016239439,0,0,0.92,0,0.852736127,0.634759602
DF___176,0.006562289,0,0,0,0.031459619,0,0.006378829,0.002190614,0,0.001651115,0.014595364,0,0,0,0,0,0,0,0.023815268,0,0,0.91,0,0.724856224,0.839376547
D_F_A_64,0.025663341,0,0,0,0.022725087,0.022615456,0,0,0,0.006560152,0,0,0,0,0,0,0,0,0.009241484,0,0,0.91,0,0.712982812,0.85632186
D_M_O_63,0,0,0,0,0.016035743,0.038366976,0,0,0,0.012397977,0,0.003122764,0,0,0,0,0,0,0.018175598,0,0,0.91,0,0.654299089,0.933270347
DBN_M_A_162,0.036667879,0,0,0,0.006208638,0.016428243,0.012508066,0,0,0.003026019,0,0,0,0,0,0,0,0,0.013426256,0,0,0.91,0,0.674496745,0.906786169
D_M__110,0.022524232,0,0,0,0.004878848,0.022667104,0.016006906,0,0,0,0.010131644,0,0,0,0,0,0,0,0.013011364,0,0,0.91,0,0.580197209,1.021662301
FACS___182,0.013632849,0,0,0,0.029263641,0,0,0.005175503,0,0,0.029154866,0,0,0,0,0.002190518,0,0.008792242,0.001953613,0,0,0.91,0,0.728653414,0.832055256
DBN_F_A_142,0.009390861,0,0,0,0.01618856,0.012059107,0.001025229,0.01449106,0,0.013725212,0.009497159,0,0,0,0,0.000552515,0,0.009704188,0.004378278,0,0,0.91,0,0.893662917,0.548096202
DBN_M_A_152,0,0.014834391,0,0,0.006122449,0.02152062,0,0.018160812,0,0.011546231,0.002739336,0,0,0,0,0,0.000498924,0.00480836,0.011937064,0,0,0.91,0,0.89422867,0.545460519
D_M__113,0.000277826,0,0,0,0.016269482,0,0.022345389,0.015425273,0,0,0.038053748,0,0,0,0,0,0,0,0,0,0,0.91,0,0.67232799,0.906240695
D_M__76,0.002058666,0,0,0,0.040972961,0,0.008578644,0,0,0.010490209,0.017645562,0,0,0,0,0,0,0,0.012892194,0,0,0.91,0,0.84914193,0.635750122
DBN_F_A_141,0.009151811,0,0,0,0.018820349,0.014315615,0.001091086,0.01376145,0,0.01383236,0.011278197,0,0,0,0,0,0,0.009199013,0.001230725,0,0,0.91,0,0.893190014,0.547974791
D_M__115,0.001818083,0,0,0,0.008152917,0.033534952,0.001130115,0,0,0.011666699,0,0.007276239,0,0,0,0,0,0,0.029542613,0,0,0.91,0,0.800927644,0.719493655
D___73,0,0,0,0,0,0.030840906,0.004927773,0.012540994,0,0.00850014,0,0.004417843,0,0,0,0,0,0,0.03211353,0,0,0.91,0,0.662567823,0.918321984
D_M__112,0.029084389,0,0,0,0,0.030935363,0.01187983,0,0,0,0.006039969,0,0,0,0,0,0,0.003516618,0.011924251,0,0,0.91,0,0.780990531,0.750758879
D___71,0.004924397,0,0,0,0.013872635,0.018631375,0.006104211,0.004770344,0,0.013331702,0,0,0,0,0,0,0,0,0.032212779,0,0,0.91,0,0.681836127,0.893218572
DBN_F_Y_155,0,0.017940332,0,0,0.014541492,0.031830935,0,0.007428938,0,0.004323752,0.005314484,0,0,0,0,0,0,0.004866891,0.00787557,0,0,0.91,0,0.87582117,0.582473588
D_F_A_104,0,0,0,0,0.03011735,0.023465201,0.004907846,0,0,0,0.036105474,0,0,0,0,0,0,0,0,0,0,0.91,0,0.619458494,0.971720504
D___101,0.00026509,0,0,0,0.005276196,0.035327352,0.01860398,1.12170843688591e-05,0,0,0.024741975,0,0,0,0,0.001147679,0,0,0.010073199,0,0,0.9,0,0.629797411,0.957727532
DBN_M_A_159,0.000295566,0,0,0,0.023505671,0,0,0,0,0.010153829,0,0.018752708,0,0,0,0,0,0,0.043806994,0,0,0.9,0,0.560771506,1.039651574
DF_F_A_181,0.012260255,0,0,0,0.032935343,0,0.007242319,0.000901197,0,0.006909838,0.022884074,0,0,0,0,0.005743527,0,0,0.007742648,0,0,0.9,0,0.584462035,1.012219171
